HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.image_url,Input.image_A_url,Input.image_B_url,Answer.choice,Approve,Reject
311HQEI8RSVYT8I2KESINIGXO5JZ71,31PT71NFROUK39WC5CDPT59HCKTVGI,Choose one image from two images,Choose one image from two images that more similar to the given reference image,"image, comparison, choose, abtest",$0.05,Tue Oct 23 08:16:52 PDT 2018,5,BatchId:3410045;OriginalHitTemplateId:926158629;,18000,604800,Thu Nov 22 07:16:52 PST 2018,,,3BF51CHDTWQ16WFHJV64XGYTP8IH0G,A3MZ9RQJX9T656,Submitted,Tue Oct 23 08:18:01 PDT 2018,Tue Oct 23 08:18:06 PDT 2018,Tue Oct 30 08:18:06 PDT 2018,,,,5,0% (0/0),0% (0/0),0% (0/0),R33_original.png,R33_l2.png,R33_diff.png,optionB,,
311HQEI8RSVYT8I2KESINIGXO5JZ71,31PT71NFROUK39WC5CDPT59HCKTVGI,Choose one image from two images,Choose one image from two images that more similar to the given reference image,"image, comparison, choose, abtest",$0.05,Tue Oct 23 08:16:52 PDT 2018,5,BatchId:3410045;OriginalHitTemplateId:926158629;,18000,604800,Thu Nov 22 07:16:52 PST 2018,,,3HUTX6F6VV3IUN4I2V580DO9YSH2OA,A273DS7TQWR9M1,Submitted,Tue Oct 23 08:18:52 PDT 2018,Tue Oct 23 08:44:14 PDT 2018,Tue Oct 30 08:44:14 PDT 2018,,,,1522,0% (0/0),0% (0/0),0% (0/0),R33_original.png,R33_l2.png,R33_diff.png,optionA,,
311HQEI8RSVYT8I2KESINIGXO5JZ71,31PT71NFROUK39WC5CDPT59HCKTVGI,Choose one image from two images,Choose one image from two images that more similar to the given reference image,"image, comparison, choose, abtest",$0.05,Tue Oct 23 08:16:52 PDT 2018,5,BatchId:3410045;OriginalHitTemplateId:926158629;,18000,604800,Thu Nov 22 07:16:52 PST 2018,,,3HWRJOOET6IPNV8R2WHIMJ7ZSK9ESK,A2MCG5W6LHSRG9,Submitted,Tue Oct 23 08:18:34 PDT 2018,Tue Oct 23 08:21:44 PDT 2018,Tue Oct 30 08:21:44 PDT 2018,,,,190,0% (0/0),0% (0/0),0% (0/0),R33_original.png,R33_l2.png,R33_diff.png,optionB,,
311HQEI8RSVYT8I2KESINIGXO5JZ71,31PT71NFROUK39WC5CDPT59HCKTVGI,Choose one image from two images,Choose one image from two images that more similar to the given reference image,"image, comparison, choose, abtest",$0.05,Tue Oct 23 08:16:52 PDT 2018,5,BatchId:3410045;OriginalHitTemplateId:926158629;,18000,604800,Thu Nov 22 07:16:52 PST 2018,,,3LWJHTCVCD25GTTA53CJ91DYMX4FQF,A1ZZ7YO3YASNIP,Submitted,Tue Oct 23 08:19:04 PDT 2018,Tue Oct 23 08:27:35 PDT 2018,Tue Oct 30 08:27:35 PDT 2018,,,,511,0% (0/0),0% (0/0),0% (0/0),R33_original.png,R33_l2.png,R33_diff.png,optionA,,
3XJOUITW8U6CDEEIALC61LWB8ZPTQD,31PT71NFROUK39WC5CDPT59HCKTVGI,Choose one image from two images,Choose one image from two images that more similar to the given reference image,"image, comparison, choose, abtest",$0.05,Tue Oct 23 08:16:53 PDT 2018,5,BatchId:3410045;OriginalHitTemplateId:926158629;,18000,604800,Thu Nov 22 07:16:53 PST 2018,,,369J354OFEQIKB6L1E43LHWJNBR6G7,A2MCG5W6LHSRG9,Submitted,Tue Oct 23 08:17:33 PDT 2018,Tue Oct 23 08:19:41 PDT 2018,Tue Oct 30 08:19:41 PDT 2018,,,,128,0% (0/0),0% (0/0),0% (0/0),R86_original.png,R86_diff.png,R86_l2.png,optionA,,
3XJOUITW8U6CDEEIALC61LWB8ZPTQD,31PT71NFROUK39WC5CDPT59HCKTVGI,Choose one image from two images,Choose one image from two images that more similar to the given reference image,"image, comparison, choose, abtest",$0.05,Tue Oct 23 08:16:53 PDT 2018,5,BatchId:3410045;OriginalHitTemplateId:926158629;,18000,604800,Thu Nov 22 07:16:53 PST 2018,,,3H0W84IWBLIDMG8EN7HDW9236IQRE9,A1F4N58CAX8IMK,Submitted,Tue Oct 23 08:18:22 PDT 2018,Tue Oct 23 08:20:44 PDT 2018,Tue Oct 30 08:20:44 PDT 2018,,,,142,0% (0/0),0% (0/0),0% (0/0),R86_original.png,R86_diff.png,R86_l2.png,optionA,,
3XJOUITW8U6CDEEIALC61LWB8ZPTQD,31PT71NFROUK39WC5CDPT59HCKTVGI,Choose one image from two images,Choose one image from two images that more similar to the given reference image,"image, comparison, choose, abtest",$0.05,Tue Oct 23 08:16:53 PDT 2018,5,BatchId:3410045;OriginalHitTemplateId:926158629;,18000,604800,Thu Nov 22 07:16:53 PST 2018,,,3RXCAC0YIS55OPP9UT115VSAT6I8GW,A273DS7TQWR9M1,Submitted,Tue Oct 23 08:19:12 PDT 2018,Tue Oct 23 08:52:18 PDT 2018,Tue Oct 30 08:52:18 PDT 2018,,,,1986,0% (0/0),0% (0/0),0% (0/0),R86_original.png,R86_diff.png,R86_l2.png,optionB,,
3XJOUITW8U6CDEEIALC61LWB8ZPTQD,31PT71NFROUK39WC5CDPT59HCKTVGI,Choose one image from two images,Choose one image from two images that more similar to the given reference image,"image, comparison, choose, abtest",$0.05,Tue Oct 23 08:16:53 PDT 2018,5,BatchId:3410045;OriginalHitTemplateId:926158629;,18000,604800,Thu Nov 22 07:16:53 PST 2018,,,3U8YCDAGXQWEJPEK2LTY6UQUGVF0QW,A1FPCIKO68OQ63,Submitted,Tue Oct 23 08:19:12 PDT 2018,Tue Oct 23 08:21:46 PDT 2018,Tue Oct 30 08:21:46 PDT 2018,,,,154,0% (0/0),0% (0/0),0% (0/0),R86_original.png,R86_diff.png,R86_l2.png,optionA,,
3GKAWYFRAP8KWDH6OIX2WCOF0HGDPO,31PT71NFROUK39WC5CDPT59HCKTVGI,Choose one image from two images,Choose one image from two images that more similar to the given reference image,"image, comparison, choose, abtest",$0.05,Tue Oct 23 08:16:52 PDT 2018,5,BatchId:3410045;OriginalHitTemplateId:926158629;,18000,604800,Thu Nov 22 07:16:52 PST 2018,,,35H6S234SBGK4EH1KILCHK5UX2D65P,A1ZD8RU6YB0VEU,Submitted,Tue Oct 23 08:17:49 PDT 2018,Tue Oct 23 08:17:57 PDT 2018,Tue Oct 30 08:17:57 PDT 2018,,,,8,0% (0/0),0% (0/0),0% (0/0),KAQ_5.png,KAQ_5_T.png,KAQ_5_F1.png,optionA,,
3GKAWYFRAP8KWDH6OIX2WCOF0HGDPO,31PT71NFROUK39WC5CDPT59HCKTVGI,Choose one image from two images,Choose one image from two images that more similar to the given reference image,"image, comparison, choose, abtest",$0.05,Tue Oct 23 08:16:52 PDT 2018,5,BatchId:3410045;OriginalHitTemplateId:926158629;,18000,604800,Thu Nov 22 07:16:52 PST 2018,,,378XPAWRUDTX34OJHFLIMYBLY79IA1,A11K4HY613LGHX,Submitted,Tue Oct 23 08:17:24 PDT 2018,Tue Oct 23 08:17:36 PDT 2018,Tue Oct 30 08:17:36 PDT 2018,,,,12,0% (0/0),0% (0/0),0% (0/0),KAQ_5.png,KAQ_5_T.png,KAQ_5_F1.png,optionA,,
