,Worker ID,Link to Individual Worker Page,Number of HITs approved or rejected - Lifetime,Number of HITs approved - Lifetime,Your Lifetime approval rate,Number of HITs approved or rejected - Last 30 days,Number of HITs approved - Last 30 days,Your Last 30 days approval rate,Number of HITs approved or rejected - Last 7 days,Number of HITs approved - Last 7 days,Your Last 7 days approval rate,CURRENT-Type A,UPDATE-Type A,CURRENT-PilotTest,UPDATE-PilotTest,CURRENT-Past participant,UPDATE-Past participant,CURRENT-Already submitted,UPDATE-Already submitted,CURRENT-AllPass,UPDATE-AllPass,CURRENT BlockStatus,UPDATE BlockStatus,BlockReason
0,A10443E11ZWEHJ,https://requester.mturk.com/workers/A10443E11ZWEHJ,5,5,100.00%,5,5,100.00%,5,5,100.00%,,,,,,,1.0,,,,Never Blocked,,
1,A11K4HY613LGHX,https://requester.mturk.com/workers/A11K4HY613LGHX,5,5,100.00%,5,5,100.00%,5,5,100.00%,1.0,,10.0,,1.0,,,,1.0,1.0,Never Blocked,,
2,A123BMISGF28F7,https://requester.mturk.com/workers/A123BMISGF28F7,4,4,100.00%,4,4,100.00%,4,4,100.00%,,,,,,,1.0,,,,Never Blocked,,
3,A12ZZYOWNDMCUP,https://requester.mturk.com/workers/A12ZZYOWNDMCUP,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,,,,,1.0,,,,Never Blocked,,
4,A13AA4ZKU2F2D0,https://requester.mturk.com/workers/A13AA4ZKU2F2D0,41,41,100.00%,41,41,100.00%,41,41,100.00%,,,,,,,1.0,,,,Never Blocked,,
5,A13QHXMU0OMNAY,https://requester.mturk.com/workers/A13QHXMU0OMNAY,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,9.0,,1.0,,,,1.0,1.0,Never Blocked,,
6,A13VIJ7G997ZCY,https://requester.mturk.com/workers/A13VIJ7G997ZCY,3,3,100.00%,3,3,100.00%,3,3,100.00%,,,,,,,,,,,Never Blocked,,
7,A171SF2UF7YUN4,https://requester.mturk.com/workers/A171SF2UF7YUN4,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,10.0,,1.0,,,,1.0,1.0,Never Blocked,,
8,A17OSPGV41FZ7P,https://requester.mturk.com/workers/A17OSPGV41FZ7P,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,,,,,1.0,,,,Never Blocked,,
9,A1830YARZUAFPX,https://requester.mturk.com/workers/A1830YARZUAFPX,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,9.0,,1.0,,,,,1.0,Never Blocked,,
