Worker ID,Link to Individual Worker Page,Number of HITs approved or rejected - Lifetime,Number of HITs approved - Lifetime,Your Lifetime approval rate,Number of HITs approved or rejected - Last 30 days,Number of HITs approved - Last 30 days,Your Last 30 days approval rate,Number of HITs approved or rejected - Last 7 days,Number of HITs approved - Last 7 days,Your Last 7 days approval rate,CURRENT-Type A,UPDATE-Type A,CURRENT-PilotTest,UPDATE-PilotTest,CURRENT-Past participant,UPDATE-Past participant,CURRENT-Already submitted,UPDATE-Already submitted,CURRENT BlockStatus,UPDATE BlockStatus,BlockReason
A10443E11ZWEHJ,https://requester.mturk.com/workers/A10443E11ZWEHJ,5,5,100.00%,5,5,100.00%,5,5,100.00%,,,,,,,1,,Never Blocked,,
A11K4HY613LGHX,https://requester.mturk.com/workers/A11K4HY613LGHX,4,4,100.00%,4,4,100.00%,4,4,100.00%,1,,,10,,1,,,Never Blocked,,
A123BMISGF28F7,https://requester.mturk.com/workers/A123BMISGF28F7,4,4,100.00%,4,4,100.00%,4,4,100.00%,,,,,,,1,,Never Blocked,,
A12ZZYOWNDMCUP,https://requester.mturk.com/workers/A12ZZYOWNDMCUP,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,,,,,1,,Never Blocked,,
A13AA4ZKU2F2D0,https://requester.mturk.com/workers/A13AA4ZKU2F2D0,41,41,100.00%,41,41,100.00%,41,41,100.00%,,,,,,,1,,Never Blocked,,
A13QHXMU0OMNAY,https://requester.mturk.com/workers/A13QHXMU0OMNAY,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,9,,1,,,,Never Blocked,,
A13VIJ7G997ZCY,https://requester.mturk.com/workers/A13VIJ7G997ZCY,3,3,100.00%,3,3,100.00%,3,3,100.00%,,,,,,,,,Never Blocked,,
A171SF2UF7YUN4,https://requester.mturk.com/workers/A171SF2UF7YUN4,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,10,,1,,,,Never Blocked,,
A17OSPGV41FZ7P,https://requester.mturk.com/workers/A17OSPGV41FZ7P,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,,,,,1,,Never Blocked,,
A1830YARZUAFPX,https://requester.mturk.com/workers/A1830YARZUAFPX,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,9,,1,,,,Never Blocked,,
A18EWG6CNKAO2J,https://requester.mturk.com/workers/A18EWG6CNKAO2J,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,6,,1,,,,Never Blocked,,
A18S7VHZ6X4F93,https://requester.mturk.com/workers/A18S7VHZ6X4F93,11,11,100.00%,11,11,100.00%,11,11,100.00%,,,,,,,1,,Never Blocked,,
A18VXW5V9Q27ET,https://requester.mturk.com/workers/A18VXW5V9Q27ET,2,2,100.00%,2,2,100.00%,2,2,100.00%,,,,,,,1,,Never Blocked,,
A1958FL5DWE5SQ,https://requester.mturk.com/workers/A1958FL5DWE5SQ,1,0,0.00%,1,0,0.00%,1,0,0.00%,,,,,,,,,Never Blocked,,
A1ANSFI5L7SUUH,https://requester.mturk.com/workers/A1ANSFI5L7SUUH,0,0,0.00%,0,0,0.00%,0,0,0.00%,,,,6,,1,,,Never Blocked,,
A1B3XMTSAYWBT6,https://requester.mturk.com/workers/A1B3XMTSAYWBT6,0,0,0.00%,0,0,0.00%,0,0,0.00%,,,,5,,1,,,Never Blocked,,
A1BZNPQ0H7ZSER,https://requester.mturk.com/workers/A1BZNPQ0H7ZSER,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,4,,1,,,,Never Blocked,,
A1D3QRG52OISSR,https://requester.mturk.com/workers/A1D3QRG52OISSR,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,5,,1,,,,Never Blocked,,
A1D9FOXZ0UT0L2,https://requester.mturk.com/workers/A1D9FOXZ0UT0L2,0,0,0.00%,0,0,0.00%,0,0,0.00%,,,,6,,1,,,Never Blocked,,
A1DVKS3R9SLQ1H,https://requester.mturk.com/workers/A1DVKS3R9SLQ1H,2,2,100.00%,2,2,100.00%,2,2,100.00%,,,,,,,1,,Never Blocked,,
A1DXFMUVK5015A,https://requester.mturk.com/workers/A1DXFMUVK5015A,0,0,0.00%,0,0,0.00%,0,0,0.00%,,,,8,,1,,,Never Blocked,,
A1E2ADZSSESHHP,https://requester.mturk.com/workers/A1E2ADZSSESHHP,0,0,0.00%,0,0,0.00%,0,0,0.00%,,,,9,,1,,,Never Blocked,,
A1EBVJWBNNPUFU,https://requester.mturk.com/workers/A1EBVJWBNNPUFU,22,22,100.00%,22,22,100.00%,22,22,100.00%,,,,,,,,,Never Blocked,,
A1EF7PCXWNTUXR,https://requester.mturk.com/workers/A1EF7PCXWNTUXR,1,0,0.00%,1,0,0.00%,1,0,0.00%,,,,,,,,,Never Blocked,,
A1F4N58CAX8IMK,https://requester.mturk.com/workers/A1F4N58CAX8IMK,25,25,100.00%,25,25,100.00%,25,25,100.00%,,,,,,,,,Never Blocked,,
A1FPCIKO68OQ63,https://requester.mturk.com/workers/A1FPCIKO68OQ63,10,10,100.00%,10,10,100.00%,10,10,100.00%,1,,10,,1,,,,Never Blocked,,
A1G3G0YQ80PTL9,https://requester.mturk.com/workers/A1G3G0YQ80PTL9,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,8,,1,,,,Never Blocked,,
