,order
R1019_A_N_diff.png,8.0
R1019_A_N_l2.png,36.0
R1019_A_N_l2diff.png,2.0
R1019_A_N_original.png,35.0
R1154_O_N_diff.png,43.0
R1154_O_N_l2.png,5.0
R1154_O_N_l2diff.png,13.0
R1154_O_N_original.png,4.0
R122_N_A_diff.png,17.0
R122_N_A_l2.png,40.0
R122_N_A_l2diff.png,18.0
R122_N_A_original.png,19.0
R122_N_O_diff.png,14.0
R122_N_O_l2.png,30.0
R122_N_O_l2diff.png,15.0
R122_N_O_original.png,47.0
R1313_A_N_diff.png,45.0
R1313_A_N_l2.png,37.0
R1313_A_N_l2diff.png,16.0
R1313_A_N_original.png,25.0
R140_N_A_diff.png,39.0
R140_N_A_l2.png,21.0
R140_N_A_l2diff.png,3.0
R140_N_A_original.png,6.0
R26_N_O_diff.png,34.0
R26_N_O_l2.png,12.0
R26_N_O_l2diff.png,29.0
R26_N_O_original.png,7.0
R273_N_A_diff.png,20.0
R273_N_A_l2.png,26.0
R273_N_A_l2diff.png,10.0
R273_N_A_original.png,28.0
R4658_A_N_diff.png,11.0
R4658_A_N_l2.png,38.0
R4658_A_N_l2diff.png,33.0
R4658_A_N_original.png,22.0
R511_O_N_diff.png,41.0
R511_O_N_l2.png,46.0
R511_O_N_l2diff.png,24.0
R511_O_N_original.png,32.0
R777_N_O_diff.png,44.0
R777_N_O_l2.png,23.0
R777_N_O_l2diff.png,1.0
R777_N_O_original.png,27.0
R872_O_N_diff.png,48.0
R872_O_N_l2.png,42.0
R872_O_N_l2diff.png,9.0
R872_O_N_original.png,31.0
