,diff,l2,diff_percent,l2_percent
A1PAFL0DX7EMAZ,43.0,17.0,71.66666666666667,28.333333333333332
A1G3G0YQ80PTL9,18.0,52.0,25.71428571428571,74.28571428571429
AZ4ZQMOFA3GND,69.0,11.0,86.25,13.750000000000002
AYJEQZWQZ471L,36.0,44.0,45.0,55.00000000000001
AZE7YSINS9UNZ,72.0,8.0,90.0,10.0
A1FPCIKO68OQ63,71.0,9.0,88.75,11.25
A2LRY3ID0PEG82,45.0,5.0,90.0,10.0
A32DRYN7M7HIZT,62.0,18.0,77.5,22.5
A25SORYWGW7RQC,56.0,24.0,70.0,30.0
A11K4HY613LGHX,71.0,9.0,88.75,11.25
A2XTDTDT3QSCB,45.0,15.0,75.0,25.0
A2NPUPP06POEJ0,51.0,19.0,72.85714285714285,27.142857142857142
A27XCW38I77SZ6,71.0,9.0,88.75,11.25
AECKWX9PFTHOM,70.0,10.0,87.5,12.5
A2OWT6YNGSTFGZ,34.0,16.0,68.0,32.0
AZR34QLGQARBV,9.0,1.0,90.0,10.0
A4RT8SPRCRYVN,32.0,28.0,53.333333333333336,46.666666666666664
A1E2ADZSSESHHP,66.0,14.0,82.5,17.5
A31J4TQIDERVVE,41.0,39.0,51.24999999999999,48.75
ADFK3HW4HAH48,60.0,20.0,75.0,25.0
A2ZX5TLZPAQ2XD,65.0,15.0,81.25,18.75
A1LD9ZQ3XTCWUN,27.0,23.0,54.0,46.0
AFASY2VX8PADR,32.0,18.0,64.0,36.0
A1Y2N49VMVJ7C6,22.0,8.0,73.33333333333333,26.666666666666668
A1X4KK8GK21WI4,47.0,23.0,67.14285714285714,32.857142857142854
A2IK4Y33UY7YFK,62.0,18.0,77.5,22.5
AOZ5HHRV4LTJF,28.0,52.0,35.0,65.0
AVT0YEI6ESW25,49.0,11.0,81.66666666666667,18.333333333333332
A24HYROUW8ZMZ,69.0,11.0,86.25,13.750000000000002
ASVP3M0AQ1HG4,60.0,20.0,75.0,25.0
AUWHXEA1AXCVE,48.0,22.0,68.57142857142857,31.428571428571427
A2RY24DUOWXUWU,15.0,15.0,50.0,50.0
A1830YARZUAFPX,39.0,31.0,55.714285714285715,44.285714285714285
A171SF2UF7YUN4,29.0,1.0,96.66666666666667,3.3333333333333335
A2HNP1YL1IBFMU,34.0,6.0,85.0,15.0
A1BWZQ1PEJG1HX,10.0,30.0,25.0,75.0
A1XGHGHD0LCPXJ,6.0,14.0,30.0,70.0
A1VOFYYXKZWG7W,42.0,8.0,84.0,16.0
A2UF26QQNQOFCZ,29.0,31.0,48.333333333333336,51.66666666666667
A2DW47AFPJWXAM,49.0,31.0,61.25000000000001,38.75
ATXUM0GBU5MC8,9.0,1.0,90.0,10.0
A13QHXMU0OMNAY,17.0,3.0,85.0,15.0
AK3DF1BXS8DSM,47.0,13.0,78.33333333333333,21.666666666666668
A3DZKVP1OBSTRF,19.0,11.0,63.33333333333333,36.666666666666664
A3K1P4SPR8XS7R,8.0,2.0,80.0,20.0
A22JTMBADARX55,11.0,19.0,36.666666666666664,63.33333333333333
A18EYZSDYZ7NIG,46.0,34.0,57.49999999999999,42.5
A2BACJE00ZUDXS,47.0,3.0,94.0,6.0
A3VZA2YUYAOE0K,16.0,4.0,80.0,20.0
A30JBY7MGFD0YO,26.0,4.0,86.66666666666667,13.333333333333334
A2OTDMCV8CZWML,4.0,6.0,40.0,60.0
ABVPW8753ZBJO,17.0,3.0,85.0,15.0
A2UC4H3EHIMWGC,19.0,11.0,63.33333333333333,36.666666666666664
A2XGOBIWUDYLOT,12.0,8.0,60.0,40.0
A1Z2P53Z69SJ92,8.0,2.0,80.0,20.0
AQ0ENO64Z0MBF,13.0,7.0,65.0,35.0
A3QQD8CMGDUN8X,10.0,0.0,100.0,0.0
A3L4JI1S352HB8,9.0,1.0,90.0,10.0
