,AUWHXEA1AXCVE,A2OWT6YNGSTFGZ,A2XGOBIWUDYLOT,A1DXFMUVK5015A,A27XCW38I77SZ6,A2UC4H3EHIMWGC,AECKWX9PFTHOM,A2DW47AFPJWXAM,A1G3G0YQ80PTL9,A4RT8SPRCRYVN,A1830YARZUAFPX,ASVP3M0AQ1HG4,AQ0ENO64Z0MBF,ATXUM0GBU5MC8,A2BACJE00ZUDXS,AZE7YSINS9UNZ,A32DRYN7M7HIZT,A2LRY3ID0PEG82,AVT0YEI6ESW25,A24HYROUW8ZMZ,AYJEQZWQZ471L,A11K4HY613LGHX,AZ4ZQMOFA3GND,ADFK3HW4HAH48,A2UF26QQNQOFCZ,A18EYZSDYZ7NIG,A1Y2N49VMVJ7C6,AOZ5HHRV4LTJF,A2IK4Y33UY7YFK,A1E2ADZSSESHHP,A22JTMBADARX55,A1VOFYYXKZWG7W,AFASY2VX8PADR,A2ZX5TLZPAQ2XD,A1X4KK8GK21WI4,A2XTDTDT3QSCB,A31J4TQIDERVVE,A3DZKVP1OBSTRF,A2RY24DUOWXUWU,A25SORYWGW7RQC,A1LD9ZQ3XTCWUN,AZR34QLGQARBV,A34HKFZ7LF12EC,A2OTDMCV8CZWML,A1FPCIKO68OQ63,A13QHXMU0OMNAY,A3L4JI1S352HB8,A1BWZQ1PEJG1HX,AKH0WFAUBUKUS,A1Z2P53Z69SJ92,A1PAFL0DX7EMAZ,A3VZA2YUYAOE0K,AK3DF1BXS8DSM,ABVPW8753ZBJO,A2EL6CXCGP4OB0,A2NPUPP06POEJ0,A2HNP1YL1IBFMU,A3QQD8CMGDUN8X
R2_5571_~_O,l2diff,,,,,,,,,,,,l2diff,,,,,,,,,l2diff,,,,,,,,,,,l2diff,,,,,,,,,,,,,,,,,,,l2,,,,,,
R2_599_N_O,l2diff,,,,,,,,,,,,l2diff,,,,,,,,,l2diff,,,,,,,,,,,l2diff,,,,,,,,,,,,,,,,,,,l2,,,,,,
R2_65_O_~,l2diff,,,,,,,,,,,,l2diff,,,,,,,,,l2diff,,,,,,,,,,,l2diff,,,,,,,,,,,,,,,,,,,l2diff,,,,,,
R2_696_O_A,l2diff,,,,,,,,,,,,l2diff,,,,,,,,,l2diff,,,,,,,,,,,l2diff,,,,,,,,,,,,,,,,,,,l2diff,,,,,,
R2_761_~_A,l2diff,,,,,,,,,,,,l2diff,,,,,,,,,l2diff,,,,,,,,,,,l2diff,,,,,,,,,,,,,,,,,,,l2diff,,,,,,
R2_867_A_O,l2diff,,,,,,,,,,,,l2diff,,,,,,,,,l2diff,,,,,,,,,,,l2diff,,,,,,,,,,,,,,,,,,,l2diff,,,,,,
R20_1175_O_~,l2diff,,,,,,,,,,,,l2diff,,,,,,,,,l2diff,,,,,,,,,,,l2diff,,,,,,,,,,,,,,,,,,,l2diff,,,,,,
R20_1938_~_N,l2diff,,,,,,,,,,,,l2,,,,,,,,,l2diff,,,,,,,,,,,l2,,,,,,,,,,,,,,,,,,,l2diff,,,,,,
R20_25_N_~,l2diff,,,,,,,,,,,,l2diff,,,,,,,,,l2diff,,,,,,,,,,,l2diff,,,,,,,,,,,,,,,,,,,l2,,,,,,
R20_2730_~_A,l2diff,,,,,,,,,,,,l2diff,,,,,,,,,l2diff,,,,,,,,,,,l2diff,,,,,,,,,,,,,,,,,,,l2diff,,,,,,
R7_2833_~_N,l2,l2,,,,,,,,,l2diff,,l2,,,,,,,,,,,,,,,,,,,,,l2,,,,,,,,,,,,,,,,,,,,,,,,
R7_289_N_A,l2diff,l2,,,,,,,,,l2,,l2diff,,,,,,,,,,,,,,,,,,,,,l2,,,,,,,,,,,,,,,,,,,,,,,,
R7_3657_A_~,l2diff,l2diff,,,,,,,,,l2,,l2diff,,,,,,,,,,,,,,,,,,,,,l2diff,,,,,,,,,,,,,,,,,,,,,,,,
R7_367_N_~,l2diff,l2diff,,,,,,,,,l2,,l2diff,,,,,,,,,,,,,,,,,,,,,l2diff,,,,,,,,,,,,,,,,,,,,,,,,
R7_4658_A_N,l2diff,l2diff,,,,,,,,,l2diff,,l2,,,,,,,,,,,,,,,,,,,,,l2diff,,,,,,,,,,,,,,,,,,,,,,,,
R7_4853_~_A,l2diff,l2diff,,,,,,,,,l2,,l2diff,,,,,,,,,,,,,,,,,,,,,l2,,,,,,,,,,,,,,,,,,,,,,,,
R8_1299_~_N,l2diff,l2diff,,,,,,,,,l2,,l2diff,,,,,,,,,,,,,,,,,,,,,l2diff,,,,,,,,,,,,,,,,,,,,,,,,
R8_1642_A_~,l2diff,l2diff,,,,,,,,,l2,,l2,,,,,,,,,,,,,,,,,,,,,l2,,,,,,,,,,,,,,,,,,,,,,,,
R8_2364_~_O,l2diff,l2diff,,,,,,,,,l2,,l2diff,,,,,,,,,,,,,,,,,,,,,l2,,,,,,,,,,,,,,,,,,,,,,,,
