,l2diff,l2,l2diff_percent,l2_percent
AUWHXEA1AXCVE,27.0,3.0,90.0,10.0
A2OWT6YNGSTFGZ,39.0,11.0,78.0,22.0
A2XGOBIWUDYLOT,15.0,5.0,75.0,25.0
A1DXFMUVK5015A,24.0,16.0,60.0,40.0
A27XCW38I77SZ6,68.0,12.0,85.0,15.0
A2UC4H3EHIMWGC,57.0,23.0,71.25,28.749999999999996
AECKWX9PFTHOM,69.0,11.0,86.25,13.750000000000002
A2DW47AFPJWXAM,58.0,22.0,72.5,27.500000000000004
A1G3G0YQ80PTL9,40.0,40.0,50.0,50.0
A4RT8SPRCRYVN,48.0,32.0,60.0,40.0
A1830YARZUAFPX,43.0,37.0,53.75,46.25
ASVP3M0AQ1HG4,64.0,16.0,80.0,20.0
AQ0ENO64Z0MBF,38.0,22.0,63.33333333333333,36.666666666666664
ATXUM0GBU5MC8,21.0,9.0,70.0,30.0
A2BACJE00ZUDXS,50.0,10.0,83.33333333333334,16.666666666666664
AZE7YSINS9UNZ,74.0,6.0,92.5,7.5
A32DRYN7M7HIZT,57.0,23.0,71.25,28.749999999999996
A2LRY3ID0PEG82,49.0,11.0,81.66666666666667,18.333333333333332
AVT0YEI6ESW25,46.0,24.0,65.71428571428571,34.285714285714285
A24HYROUW8ZMZ,65.0,15.0,81.25,18.75
AYJEQZWQZ471L,41.0,39.0,51.24999999999999,48.75
A11K4HY613LGHX,76.0,4.0,95.0,5.0
AZ4ZQMOFA3GND,69.0,11.0,86.25,13.750000000000002
ADFK3HW4HAH48,70.0,10.0,87.5,12.5
A2UF26QQNQOFCZ,45.0,35.0,56.25,43.75
A18EYZSDYZ7NIG,28.0,22.0,56.00000000000001,44.0
A1Y2N49VMVJ7C6,46.0,14.0,76.66666666666667,23.333333333333332
AOZ5HHRV4LTJF,23.0,57.0,28.749999999999996,71.25
A2IK4Y33UY7YFK,51.0,29.0,63.74999999999999,36.25
A1E2ADZSSESHHP,71.0,9.0,88.75,11.25
A22JTMBADARX55,25.0,5.0,83.33333333333334,16.666666666666664
A1VOFYYXKZWG7W,60.0,10.0,85.71428571428571,14.285714285714285
AFASY2VX8PADR,31.0,9.0,77.5,22.5
A2ZX5TLZPAQ2XD,50.0,20.0,71.42857142857143,28.57142857142857
A1X4KK8GK21WI4,18.0,2.0,90.0,10.0
A2XTDTDT3QSCB,64.0,16.0,80.0,20.0
A31J4TQIDERVVE,45.0,35.0,56.25,43.75
A3DZKVP1OBSTRF,37.0,13.0,74.0,26.0
A2RY24DUOWXUWU,8.0,2.0,80.0,20.0
A25SORYWGW7RQC,52.0,18.0,74.28571428571429,25.71428571428571
A1LD9ZQ3XTCWUN,48.0,12.0,80.0,20.0
AZR34QLGQARBV,9.0,1.0,90.0,10.0
A34HKFZ7LF12EC,14.0,16.0,46.666666666666664,53.333333333333336
A2OTDMCV8CZWML,6.0,4.0,60.0,40.0
A1FPCIKO68OQ63,77.0,3.0,96.25,3.75
A13QHXMU0OMNAY,19.0,1.0,95.0,5.0
A3L4JI1S352HB8,17.0,3.0,85.0,15.0
A1BWZQ1PEJG1HX,36.0,24.0,60.0,40.0
AKH0WFAUBUKUS,10.0,0.0,100.0,0.0
A1Z2P53Z69SJ92,9.0,1.0,90.0,10.0
A1PAFL0DX7EMAZ,17.0,3.0,85.0,15.0
A3VZA2YUYAOE0K,21.0,9.0,70.0,30.0
AK3DF1BXS8DSM,17.0,3.0,85.0,15.0
ABVPW8753ZBJO,7.0,3.0,70.0,30.0
A2EL6CXCGP4OB0,9.0,1.0,90.0,10.0
A2NPUPP06POEJ0,8.0,2.0,80.0,20.0
A2HNP1YL1IBFMU,10.0,0.0,100.0,0.0
A3QQD8CMGDUN8X,10.0,0.0,100.0,0.0
